"",""
"Action","Action"
"Add Yagostudio","Add Yagostudio"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the yagostudios.","An error occurred while updating the yagostudios."
"Approved","Approved"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find yagostudio to delete.","Could not find yagostudio to delete."
"Created at","Created at"
"Customer Email","Customer Email"
"Customer profile","Customer profile"
"Delete Yagostudio comment","Delete Yagostudio comment"
"Delete Yagostudio","Delete Yagostudio"
"Delete","Delete"
"Designer Address","Designer Address"
"Designer Email","Designer Email"
"Designer Mobile","Designer Mobile"
"Designer Name","Designer Name"
"Designer Photos","Designer Photos"
"Disabled","Disabled"
"Edit Yagostudio '%s'","Edit Yagostudio '%s'"
"Edit Yagostudio comment '%s'","Edit Yagostudio comment '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving yagostudio","Error saving yagostudio"
"Excel","Excel"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for yagostudios list page","Meta description for yagostudios list page"
"Meta information","Meta information"
"Meta keywords for yagostudios list page","Meta keywords for yagostudios list page"
"Meta title for yagostudios list page","Meta title for yagostudios list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Yagostudio Comments","My Yagostudio Comments"
"My Yagostudios comment view","My Yagostudios comment view"
"No","No"
"None","None"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select yagostudios to delete.","Please select yagostudios to delete."
"Please select yagostudios.","Please select yagostudios."
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Yagostudio comment","Save Yagostudio comment"
"Save Yagostudio","Save Yagostudio"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The yagostudios has been deleted.","The yagostudios has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the yagostudio.","There was a problem saving the yagostudio."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error deleting yagostudio.","There was an error deleting yagostudio."
"There was an error deleting yagostudios.","There was an error deleting yagostudios."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating yagostudios.","There was an error updating yagostudios."
"This comment no longer exists.","This comment no longer exists."
"This yagostudio does not allow comments","This yagostudio does not allow comments"
"This yagostudio no longer exists.","This yagostudio no longer exists."
"Title","Title"
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d yagostudios were successfully deleted.","Total of %d yagostudios were successfully deleted."
"Total of %d yagostudios were successfully updated.","Total of %d yagostudios were successfully updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find yagostudio to save.","Unable to find yagostudio to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yagostudio Comment","Yagostudio Comment"
"Yagostudio Comments","Yagostudio Comments"
"Yagostudio comment","Yagostudio comment"
"Yagostudio was saved","Yagostudio was saved"
"Yagostudio was successfully deleted.","Yagostudio was successfully deleted."
"Yagostudio was successfully saved","Yagostudio was successfully saved"
"Yagostudio","Yagostudio"
"Yagostudios","Yagostudios"
"Yes","Yes"
"You have submitted no comments for yagostudios.","You have submitted no comments for yagostudios."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"